idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,cloud_preferida,cargo,sql,nosql
28.0,1,1,1,1,8,1,1,2,5,3,1,1,1
27.0,1,4,1,1,24,1,2,7,3,1,5,1,3
29.0,2,1,1,1,24,2,9,2,5,4,6,1,1
22.0,1,4,1,1,12,2,3,2,5,4,4,0,0
27.0,2,4,1,1,24,3,2,7,1,2,1,0,1
35.0,2,4,1,1,24,3,2,1,2,3,3,3,1
27.0,2,4,1,1,24,3,9,5,5,1,-1,4,6
21.0,2,4,1,1,24,2,3,1,5,2,-1,4,3
23.0,1,4,1,1,24,3,2,2,5,4,11,3,0
43.0,2,4,1,1,4,1,7,5,1,4,4,0,0
29.0,2,1,1,1,24,3,9,7,5,4,-1,0,3
23.0,2,4,1,1,12,3,9,3,5,2,6,5,2
29.0,1,1,1,1,25,2,9,7,5,4,2,4,2
28.0,1,4,1,1,12,1,4,2,5,4,4,1,0
27.0,2,4,1,1,18,3,2,1,1,4,2,2,2
29.0,1,4,1,1,5,1,1,5,2,1,2,1,0
30.0,2,4,1,1,12,3,5,1,5,4,-1,1,2
25.0,1,4,1,1,24,3,9,6,5,4,6,1,0
30.0,2,4,1,1,8,3,9,3,5,4,3,2,0
24.0,-1,4,1,1,24,1,1,7,5,1,1,6,2
33.0,2,4,1,1,24,3,9,2,5,4,1,0,2
34.0,2,2,1,1,12,1,9,1,5,2,3,2,0
40.0,2,1,1,1,24,3,9,5,5,3,3,3,0
31.0,2,4,1,1,24,1,9,5,5,1,2,4,1
27.0,2,1,1,1,12,1,9,3,5,3,2,1,1
30.0,2,4,1,1,24,1,9,7,5,4,1,3,0
30.0,2,4,1,1,24,1,6,3,5,3,11,1,1
23.0,1,1,1,1,23,3,2,7,5,4,11,2,0
27.0,2,2,1,1,15,1,1,3,5,2,-1,1,0
30.0,2,4,1,1,24,1,3,5,1,4,4,1,0
21.0,2,4,1,1,24,2,9,1,3,1,2,1,2
23.0,2,4,1,1,24,3,1,1,5,4,3,2,0
32.0,1,4,1,1,12,1,2,5,1,2,5,3,0
36.0,2,4,1,1,24,3,9,1,5,1,2,3,2
50.0,2,4,1,1,6,1,3,4,5,2,-1,2,1
21.0,1,1,1,1,24,2,9,1,1,4,3,2,0
20.0,2,1,1,1,24,3,9,7,5,4,2,2,3
27.0,2,4,1,1,12,1,1,1,5,3,11,1,0
29.0,2,4,1,1,12,1,9,1,5,2,-1,3,2
36.0,1,4,1,2,-1,1,1,2,5,2,-1,1,0
43.0,2,4,1,2,-1,1,9,3,5,3,2,1,2
25.0,2,4,1,1,24,3,1,7,5,3,3,2,1
32.0,2,4,1,1,15,3,2,1,5,4,11,3,0
27.0,1,4,1,1,18,3,4,7,-1,3,3,1,1
27.0,1,4,1,1,12,3,9,1,5,2,2,6,6
36.0,2,1,1,1,12,1,9,2,5,4,1,1,0
34.0,1,4,1,1,18,3,9,1,5,1,2,3,2
21.0,2,4,1,1,24,2,4,7,5,4,1,2,0
41.0,2,4,1,1,23,1,9,4,5,3,2,2,1
24.0,2,4,1,1,18,1,1,7,5,2,11,0,0
24.0,2,4,1,1,20,2,9,7,5,3,11,1,0
45.0,2,4,1,1,12,1,1,7,5,4,-1,2,0
36.0,2,4,1,1,20,1,9,7,5,1,3,1,0
25.0,2,4,1,1,24,3,1,7,5,4,2,3,6
41.0,1,4,1,1,24,1,9,1,5,2,4,1,0
26.0,2,4,1,1,24,3,9,7,5,1,2,1,0
25.0,2,1,1,1,8,3,9,7,5,4,11,0,1
31.0,2,4,1,1,24,1,3,5,5,4,1,5,3
27.0,2,4,1,1,24,3,1,3,5,1,2,3,5
41.0,1,4,1,1,24,1,4,3,5,2,11,2,0
44.0,1,4,1,1,24,2,9,7,5,3,3,1,0
32.0,1,4,1,1,15,3,9,1,5,1,-1,1,0
31.0,2,4,1,1,23,3,1,7,5,4,3,2,0
33.0,1,1,1,1,6,1,9,3,5,2,3,4,1
54.0,2,4,1,1,18,1,3,4,-1,2,6,0,0
22.0,2,4,1,1,24,3,9,7,5,4,3,4,0
28.0,1,4,1,1,19,3,4,2,5,2,-1,1,1
40.0,1,4,1,1,24,1,1,1,5,4,11,2,0
43.0,1,1,1,1,24,1,2,6,5,4,4,0,1
28.0,2,4,1,1,20,2,9,2,5,4,4,1,0
40.0,1,1,1,1,12,1,2,3,-1,3,3,0,0
26.0,1,4,1,1,12,3,7,7,5,3,5,1,0
31.0,2,4,1,1,16,5,-1,1,3,3,3,4,0
37.0,2,4,1,1,24,3,9,4,5,4,11,2,1
32.0,2,4,1,1,12,1,8,1,5,2,1,1,0
48.0,2,4,1,1,12,1,9,4,5,2,6,4,0
22.0,2,4,1,1,19,3,9,7,5,2,1,1,0
31.0,2,4,1,1,12,3,9,3,5,3,2,3,0
26.0,1,1,1,1,6,2,9,2,5,3,3,3,1
28.0,2,1,1,1,12,3,9,1,5,2,2,1,0
26.0,1,4,1,1,6,1,4,7,5,4,-1,1,4
35.0,1,4,1,1,15,3,9,2,5,1,3,2,0
44.0,2,4,1,1,24,1,9,7,5,4,1,3,1
25.0,2,4,1,1,5,2,3,7,1,3,3,2,0
27.0,1,3,1,1,24,3,9,3,5,3,1,0,2
29.0,2,4,1,1,24,1,6,1,5,4,11,1,2
35.0,1,4,1,1,12,1,9,3,-1,2,-1,5,2
25.0,1,4,1,1,12,1,9,3,5,4,-1,4,3
25.0,2,1,1,1,7,3,1,2,5,4,3,4,0
27.0,2,4,1,1,15,3,1,2,5,1,2,1,2
31.0,1,4,1,1,24,1,9,3,5,4,11,2,2
33.0,2,4,1,1,7,3,1,7,5,4,11,0,1
31.0,1,4,1,1,24,1,1,1,1,4,11,1,1
32.0,2,4,1,1,24,3,2,2,5,2,3,2,0
24.0,2,4,1,1,24,2,1,7,5,3,3,2,1
45.0,1,2,1,1,19,3,3,4,1,3,5,0,0
49.0,1,3,1,1,24,1,9,4,1,1,3,2,0
38.0,2,1,1,1,18,1,2,7,5,1,11,1,0
31.0,2,4,1,1,24,3,9,5,5,4,6,3,0
25.0,2,4,1,1,24,3,1,7,5,2,1,1,0
28.0,2,1,1,1,24,2,9,2,5,4,4,0,1
21.0,2,2,1,1,12,5,-1,7,5,4,1,0,1
,2,1,1,1,4,2,9,7,5,2,6,2,1
30.0,2,4,1,1,23,1,9,1,5,4,6,2,1
28.0,2,4,1,1,24,1,2,5,1,2,1,0,1
29.0,2,1,1,1,11,1,9,2,5,2,3,1,0
27.0,1,4,1,1,5,1,3,7,5,2,11,2,1
33.0,2,4,1,1,24,2,9,2,5,4,4,2,0
27.0,2,4,1,1,18,3,1,3,5,4,1,0,1
50.0,2,4,1,1,6,1,2,5,1,1,1,2,0
23.0,2,2,1,1,15,3,2,7,5,3,4,1,0
29.0,1,4,1,1,24,1,2,7,5,1,11,1,0
25.0,2,4,1,1,24,2,1,7,5,2,11,1,0
26.0,2,4,1,1,24,3,1,7,5,4,11,2,1
25.0,1,2,1,1,5,3,9,7,5,4,3,1,0
33.0,2,4,1,1,16,3,2,1,5,3,2,3,1
48.0,2,4,1,1,6,1,9,3,5,4,2,1,0
29.0,2,4,1,1,15,1,3,5,1,1,1,2,0
25.0,1,4,-1,1,24,1,9,7,5,4,2,0,2
25.0,1,4,1,1,24,1,4,1,5,1,1,2,0
27.0,2,2,1,1,24,3,9,2,5,2,-1,2,0
28.0,2,4,1,1,12,3,1,7,4,4,1,2,2
31.0,2,4,2,1,24,3,9,7,5,3,1,1,2
29.0,2,2,1,1,24,3,9,5,5,4,2,3,2
29.0,2,4,1,1,24,3,1,1,3,4,5,1,1
32.0,2,4,1,1,12,1,1,3,5,3,3,2,1
27.0,2,4,1,1,24,1,2,7,5,1,3,1,0
35.0,2,4,1,1,24,1,5,7,5,4,-1,0,2
37.0,2,4,1,1,24,1,9,1,5,2,2,2,2
26.0,1,4,1,1,15,3,3,1,1,1,3,1,0
32.0,2,1,1,1,24,3,2,1,5,2,11,1,2
30.0,2,4,1,1,5,1,2,7,5,1,11,4,0
30.0,2,4,1,1,24,1,3,5,1,1,-1,1,0
26.0,1,4,1,1,5,3,3,1,1,1,1,5,2
24.0,2,4,1,1,15,1,8,1,5,1,3,1,0
22.0,2,1,1,1,24,2,9,2,5,4,11,1,1
41.0,2,4,1,1,24,1,9,4,5,2,11,1,0
35.0,2,1,1,1,24,1,6,7,5,4,1,1,1
30.0,2,4,1,1,18,1,6,1,5,4,1,1,0
24.0,2,4,1,1,18,1,9,1,5,4,2,3,7
52.0,2,4,1,1,24,3,8,1,5,1,4,1,0
35.0,2,1,1,1,24,1,9,3,5,4,11,0,1
25.0,2,4,1,1,23,3,9,7,5,4,2,3,0
31.0,1,4,1,1,24,1,4,7,5,2,11,1,0
27.0,2,4,2,1,15,1,1,1,5,1,2,1,0
33.0,2,4,1,1,9,1,1,2,5,2,3,1,0
32.0,2,4,2,1,24,3,9,3,5,1,-1,1,0
38.0,1,4,1,1,12,1,6,2,5,4,1,1,1
34.0,1,4,1,1,23,3,2,2,5,4,1,2,1
23.0,2,4,1,1,24,3,1,2,5,1,-1,0,0
29.0,2,4,1,1,12,2,9,7,5,4,11,2,0
27.0,2,4,1,1,7,5,-1,1,5,4,2,3,0
24.0,2,4,1,1,24,3,1,2,5,4,1,2,0
31.0,2,4,1,1,24,3,2,7,5,4,11,2,2
39.0,2,4,1,1,24,3,5,4,5,1,1,8,1
27.0,2,1,1,1,24,1,1,1,5,1,11,2,0
23.0,2,2,1,1,13,2,9,7,5,4,1,1,1
24.0,1,4,1,1,24,2,9,2,5,2,2,1,2
26.0,2,2,1,1,14,3,8,2,5,2,4,1,0
26.0,-1,4,1,1,24,1,2,7,5,4,11,1,2
32.0,2,1,1,1,24,3,9,4,5,4,2,5,4
26.0,2,2,1,1,18,3,9,2,5,1,1,2,2
21.0,2,4,1,1,6,2,9,2,1,4,6,1,0
33.0,2,1,1,1,24,-1,-1,6,5,2,4,0,1
40.0,2,4,1,1,18,1,4,7,5,4,1,3,1
29.0,1,4,1,1,24,3,3,5,5,1,1,1,0
25.0,2,4,1,1,24,3,1,1,5,4,11,2,2
26.0,2,4,1,1,15,2,1,7,5,3,3,0,1
26.0,1,4,1,1,12,3,2,2,5,3,4,1,0
19.0,1,4,1,1,24,2,3,2,5,2,1,1,0
32.0,2,4,1,1,24,3,7,1,5,1,11,2,1
25.0,1,4,1,1,20,1,9,3,5,4,11,1,1
33.0,2,1,1,1,24,1,1,1,5,2,2,1,2
27.0,2,4,1,1,24,3,5,1,5,2,5,1,0
33.0,2,4,1,1,24,3,1,7,5,4,3,1,1
28.0,2,4,1,1,12,1,1,1,5,3,5,2,0
29.0,1,4,1,1,24,1,2,1,5,3,1,1,1
30.0,2,4,1,1,15,3,1,7,5,1,1,2,0
34.0,1,4,1,1,24,1,7,2,5,1,2,1,2
30.0,1,3,1,1,24,1,3,3,5,1,1,2,0
31.0,2,4,1,1,24,5,-1,7,5,1,4,0,0
31.0,2,4,1,1,14,3,2,7,5,1,2,2,0
43.0,1,3,1,1,24,1,9,7,5,4,6,5,0
38.0,2,1,1,1,24,3,9,4,5,1,11,1,0
35.0,1,4,1,1,24,2,9,1,5,2,3,0,0
,2,4,1,1,18,3,9,6,5,4,4,1,0
29.0,2,4,1,1,24,1,5,7,1,4,3,2,2
43.0,2,4,1,1,24,3,9,7,5,4,6,1,1
25.0,1,4,1,1,24,3,9,1,5,4,1,1,4
28.0,2,4,1,1,24,2,9,6,5,2,-1,1,0
34.0,1,-1,1,1,6,1,4,2,5,4,4,1,0
32.0,2,4,1,1,14,3,9,1,5,1,2,6,4
47.0,2,4,1,1,24,3,1,4,5,4,2,6,2
28.0,1,4,1,1,24,3,5,7,5,1,11,2,1
22.0,2,4,1,1,6,3,1,2,5,3,1,0,1
28.0,-1,2,1,1,24,1,1,2,5,1,-1,1,0
40.0,2,4,1,1,24,1,1,5,5,4,-1,3,1
30.0,1,1,1,1,18,2,9,2,5,4,2,1,3
49.0,2,1,1,1,19,1,3,4,1,4,-1,1,0
27.0,2,1,1,1,12,1,2,1,5,3,11,2,0
26.0,2,4,1,1,12,1,8,7,5,2,11,2,0
33.0,2,4,1,1,24,1,1,7,5,1,1,2,3
25.0,2,4,1,1,15,1,2,7,5,1,11,1,0
34.0,2,4,1,1,24,1,4,7,5,3,3,0,1
26.0,2,1,1,1,24,2,9,6,5,1,4,0,0
23.0,2,4,1,1,5,5,-1,2,5,4,-1,1,0
37.0,1,4,1,1,25,1,9,7,5,4,3,0,1
23.0,2,4,1,1,12,3,3,1,1,3,-1,2,0
41.0,2,4,1,1,24,1,9,7,5,4,11,1,1
36.0,2,-1,1,1,24,1,5,3,5,3,11,2,0
27.0,2,4,1,1,15,3,1,1,5,4,11,2,1
33.0,2,1,1,1,24,1,9,1,5,3,5,2,3
34.0,1,4,1,1,5,1,3,4,1,4,1,1,1
27.0,1,4,1,1,20,1,3,7,1,3,1,0,1
29.0,2,4,1,1,20,3,1,7,5,3,1,4,0
26.0,2,4,1,1,18,3,2,2,5,4,4,1,0
34.0,1,2,1,1,12,1,4,2,5,4,2,0,1
29.0,2,4,1,1,24,3,1,3,5,4,2,5,7
28.0,2,4,1,1,24,3,1,1,5,3,2,2,1
28.0,2,1,1,1,18,2,2,1,5,4,5,6,3
26.0,2,1,1,1,18,3,1,1,5,1,2,3,0
28.0,2,4,1,1,15,3,9,1,-1,3,-1,1,0
26.0,2,4,1,1,24,3,9,1,5,2,11,4,1
30.0,1,4,1,1,12,1,1,7,5,3,2,2,0
,2,4,1,1,24,5,-1,2,5,3,4,2,0
24.0,2,4,1,1,8,3,9,7,5,4,11,3,0
